ID,Category,Vendor,Model,Serial,Description,Modules,ETAG,Last Cal Date,Next Cal Date,IP Address,Purchase Value,Year of Purchase,check,Location,Comments,uuid,delete_col
1,SCOPE,TEKTRONIX,TDS6804B,B010135,DIGITAL STORAGE OSCILLOSCOPE,,483898,6.8.2013,31.10.2014,,,,0,Retired,ISMP - traded for new scope (50GHz) - deleted,,sdfsd
2,FUNCTION/SIGNAL,HP/AGILENT,N6731B,MY43002723,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,Retired,Waterfalled to FM - T&M ISM:1304002038,,sdfsd
3,FUNCTION/SIGNAL,HP/AGILENT,N6731B,MY43002726,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,Retired,Waterfalled to FM - T&M ISM:1304002038,,
4,FUNCTION/SIGNAL,HP/AGILENT,N6731B,MY43002732,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,Retired,Waterfalled to FM - T&M ISM:1304002038,,sdfsdfsdfsd
5,FUNCTION/SIGNAL,HP/AGILENT,N6731B,MY43002729,DC POWER MODULE,,,6.8.2013,6.8.2014,,,,0,Retired,Waterfalled to FM - T&M ISM:1304002038,,
6,FUNCTION/SIGNAL,HP/AGILENT,N6700B,MY43010661,LOW PROFILE MPS MAINFRAME,,,1.11.2012,1.11.2013,,,,0,Retired,Waterfalled to FM - T&M ISM:1304002038,,
7,DMM,HP/AGILENT,34401A,MY41045463,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"3,000",<2015,1,Storeroom,,,
8,DMM,HP/AGILENT,34401A,MY45002387,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"3,000",<2015,1,Storeroom,,,
9,POWER SUPPLY,HP/AGILENT,6632A,3524A11782,DC POWER SUPPLY,,,31.10.2012,,,,,0,Retired,Failed CV/CC load effect - old equipment - retire list,,
10,POWER SUPPLY,HP/AGILENT,6641A,MY40000481,DC POWER SUPPLY,,,25.6.2015,25.6.2015,,,,0,Retired,old equipment - retire list - moved to CCD,,
11,POWER SUPPLY,HP/AGILENT,E3640A,MY52150017,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,"1,200",<2015,1,Storeroom,Sent to Gil ISM:1304178849,,
12,FUNCTION/SIGNAL,HP/AGILENT,33250A,MY40018268,80MHz Funcation/Arbitrary Waveform Generator,,484439,8.8.2016,8.8.2017,,,,0,bench 19,Donation for BIU,,
13,POWER SUPPLY,HP/AGILENT,E3640A,MY52140047,DC POWER SUPPLY,,,8.8.2016, 8.8.2017,,"1,200",<2015,1,Storeroom,Sent to Gil ISM:1304178849,,
14,POWER SUPPLY,HP/AGILENT,E3640A,MY40013848,DC POWER SUPPLY,,,8.8.2016, 8.8.2017,,"1,200",<2015,1,bench 7,,,
15,SCOPE,HP/AGILENT,DSA-X 92004A,MY50270129,DIGITAL SIGNAL ANALYZER,,484421,8.8.2016,8.8.2017,,,,0,Retired,Asset:200000698988? Moved to BA,,
16,POWER SUPPLY,HP/AGILENT,6641A,MY40000480,DC POWER SUPPLY,,,25.6.2015,25.6.2015,,,,0,Retired,"old equipment - retire list - sent to Shalmir, Ran JER8",,
17,FUNCTION/SIGNAL,HP/AGILENT,81134A,DE42800334,3.35 GHZ PULSE/PATTERN GENERATOR,,372808,8.8.2016,8.8.2017,,"25,000",<2015,1,bench 2,,,
18,DMM,HP/AGILENT,34401A,MY41045509,DIGIT MULTIMETER,,,8.8.2016, 8.8.2017,,"3,000",<2015,1,Storeroom,,,
19,SCOPE,TEKTRONIX,DSA8300,C010215,DIGITAL SERIAL ANALYZER,,484452,,,,"30,000",<2015,1,Scondery Lab,Sent to Tektronix for repair and clibration ISM:1305434853,,
20,FUNCTION/SIGNAL,TEKTRONIX,BSA175C,280748,17.5 Gb\s BIT ERROR RATIO ANALYZER,,,25.8.16,25.8.17,10.12.215.168,,,0,Retired,"Waterfalled to MX, Chavez Cuadras, Ricardo Usiel ISM: 1304658836 ",,
21,DMM,KITHLEY,2000,1252460,2000 MULTIMETER,,,8.8.2016,8.8.2017,,,,0,Retired,moved to CCD,,
22,Clock Gen,STANFORD RESEARCH SYSTEMS,CG635,2536,2.05 GHZ SYNTHSIZED CLOCK GENERATOR,,,8.8.2016,8.8.2017,,"4,000",<2015,1,bench 15,Left,,
23,SCOPE,TEKTRONIX,TDS5054B,B021082,DIGITAL PHOSPHOR OSCILLOSCOPE,,423648,6.8.2013,31.10.2014,,,,0,Retired,moved to CCD,,
24,DMM,FLUKE,175,92140556,TRUE RMS MULTIMETER,,,6.8.2013,30.10.2013,,250,<2015,1,Lab storage,,,
25,POWER SUPPLY,HP/AGILENT,6641A,3544A00392,DC POWER SUPPLY,,,25.6.2015,25.6.2015,,,,0,Retired,"old equipment - retire list - sent to Shalmir, Ran JER8",,
26,POWER SUPPLY,HP/AGILENT,6632A,2715A00549,DC POWER SUPPLY,,,6.8.2013,31.10.2014,,200,<2015,1,Storeroom,old equipment - retire list ,,
27,ANALYZER,HP/AGILENT,MXA N9020A,MY49100303,MXA SIGNAL ANALYZER,,454009,8.8.2016,8.8.2017,,"15,000",<2015,1,bench 27,,,
28,POWER SUPPLY,HP/AGILENT,E3640A,MY52140050,DC POWER SUPPLY,,,8.8.2016,8.8.2017,,"1,200",<2015,1,Haifa,,,
29,POWER SUPPLY,HP/AGILENT,E3640A,MY52140042,DC POWER SUPPLY,,,8.8.2016, 8.8.2017,,"1,200",<2015,1,bench 2,,,
30,SCOPE,TEKTRONIX,TDS784D,B021948,DIGITAL PHOSPHOR OSCILLOSCOPE,,271537,6.8.2013,31.10.2014,,,,0,Retired,"Old equipment sent to Shalmir, Ran JER8",,
31,DMM,HP/AGILENT,34401A,MY44006694,DIGIT MULTIMETER,,,8.8.2016,8.8.2017,,"3,000",<2015,1,Haifa,,,
