Category,Location,Vendor,index,ID
ANALYZER,bench 17,OTHER,4cc87cd9-ac5f-4fd7-9e3e-921174f08711,1
SCOPE,Haifa,Thermotron,fa754ef0-1a42-4839-b0f3-ca6b2145fa51,2
FUNCTION/SIGNAL,bench 7,KITHLEY,f3b0372c-7313-4647-90b9-bf56eeeb63d3,3
DMM,Scondery Lab,synthesis reaserch,7fe48850-85b2-4aa1-b8d8-fe84e50c55e6,4
Board,bench 23,FLUKE,f4d85f39-535c-4272-bbd4-80bd239d8b49,5
THERMAL TOOL,bench 11,EXTREM NETWORKS,ce9a9e32-9f55-467f-8f4b-bcfcf0ff1635,6
Other,Storeroom,TTI,9efee3b0-40c6-4a1b-9a17-ceec5e097721,7
SOURCE METER,bench 18,ROHDE&SCHWARZ,cd59b0ec-2587-4243-8523-a767e3666450,8
Logic Analysis,Lab storage,HP/AGILENT,5653ea5b-b441-4cc3-9bf4-33be29a1291b,9
Logic analysis module,Retired,HOLZWORTH,7d4449a3-2145-4522-966b-ca2429a0931b,10
ANALYZER,bench 17,OTHER,5c968caa-6411-4f7e-8760-fce8269160b4,11
Cabels,bench 28,Anritsu,53b0b620-7604-4768-8e81-b8e92dc6aac3,12
SOLDER,bench 2,METCAL,f9ad29f3-6995-42d2-8a5c-2e2c3b8169f9,13
Clock Gen,bench 3,,32a1f69c-a43a-4ced-8123-8ada471c98f8,14
PROBE,bench 20,WILDER TECHNOLOGIES,b8ffe175-731a-4ace-922f-d08dcb7102fe,15
POWER SUPPLY,bench 25,STANFORD RESEARCH SYSTEMS,de023b1c-971a-49f8-a5b1-c1f68e42d305,16
99,bench 22,Synopsys,35d1ebb6-b73e-4dd1-92e0-ae98d26e6cb6,17
,bench 1,Intel,e1c2f60f-5cc1-4b34-97cd-29c0a7a2b1ea,18
,bench 5,GIGATRONICS,7a8699b4-994c-438b-8a8b-e8013e606d98,19
,bench 26,WAVECREST,4f2d1f73-ed90-4baf-9927-b932d327a967,20
,bench 10,MECHANICAL DEVICES,c5ed0446-33ab-415c-a736-47752c66365a,21
,,HP/AGILENT/KEYSIGHT,8feb21d3-aac1-4b2f-81c9-da21624de43e,22
,Lidor,IXIA,d52d30d0-d587-47ac-ad45-18b298b040c6,23
,bench 6,Noisecom,2b4790cb-cd61-4802-8bca-5eb590d62bfa,24
,Daniel,Agilent,c42592b0-7130-470f-9ce4-570e4a6ef7ca,25
,bench 30,ARTEK,6cb3b864-29f5-4568-8568-c6769b5c50df,26
,bench 15,TEKTRONIX,c4d0e66f-2bf3-40a9-9f38-f86eac4751d7,27
,bench 8,,f0e83906-9b43-4673-991f-e5973a17d82e,28
,bench 14,,fa63f58f-036d-4457-ab02-a30a28c881b3,29
,bench 13,,f5a48056-e566-4575-ab75-eaf563326550,30
,bench 4,,3387ed20-24bd-4801-9118-a01603b1f552,31
,in repair,,1effe7ab-8ac3-4ec7-b219-ca5001e25d39,32
,bench 27,,d00a3f99-0bed-4dc5-8c56-03667a10ef1a,33
,bench 29,,614cfbb9-4556-463e-a7a1-be49f3fbba92,34
,bench 19,,16865f39-251b-4dd4-90aa-bf75ba1efc5e,35
,bench 30,ARTEK,dbbec87c-a579-460c-abda-7db9360f7c9b,36
ANALYZER,bench 17,OTHER,1683fa2e-12b8-4bcc-aeae-fd1b9743096c,37
ANALYZER,bench 17,OTHER,8dedf876-5336-4984-819d-b272cbfa9109,38
,bench 30,ARTEK,f0312ebd-4351-42ea-b7a0-4bd049587d6a,39
ANALYZER,bench 17,OTHER,bca331e0-cfe6-4847-ba52-d091f0454599,40
ANALYZER,bench 17,OTHER,cadd5989-8c9e-4730-8bf1-dfe795c5c48f,41
